turn_id,pause_index,p_eot
en__000,0,0.1626
en__000,1,0.2539
en__000,2,0.3166
en__000,3,0.1885
en__001,0,0.3105
en__001,1,0.6046
en__002,0,0.4788
en__002,1,0.3318
en__002,2,0.4369
en__002,3,0.2517
en__002,4,0.2572
en__002,5,0.4369
en__002,6,0.4292
en__003,0,0.4888
en__004,0,0.1749
en__004,1,0.5963
en__005,0,0.3667
en__005,1,0.5551
en__006,0,0.3757
en__006,1,0.6694
en__006,2,0.7199
en__007,0,0.3036
en__007,1,0.1117
en__007,2,0.1395
en__007,3,0.1996
en__007,4,0.2136
en__007,5,0.2479
en__007,6,0.2162
en__008,0,0.2141
en__008,1,0.5688
en__008,2,0.6347
en__008,3,0.5062
en__009,0,0.4532
en__010,0,0.3690
en__010,1,0.2929
en__011,0,0.6239
en__012,0,0.2833
en__012,1,0.4127
en__012,2,0.5543
en__013,0,0.6055
en__014,0,0.5570
en__014,1,0.7981
en__015,0,0.2499
en__015,1,0.4501
en__016,0,0.1664
en__016,1,0.6104
en__016,2,0.8083
en__017,0,0.5574
en__017,1,0.7609
en__018,0,0.2091
en__018,1,0.5127
en__018,2,0.4484
en__018,3,0.5421
en__018,4,0.5225
en__018,5,0.3780
en__019,0,0.5325
en__020,0,0.5356
en__020,1,0.3798
en__020,2,0.6296
en__021,0,0.6491
en__022,0,0.6610
en__022,1,0.9043
en__023,0,0.2386
en__023,1,0.2522
en__023,2,0.2804
en__024,0,0.4589
en__024,1,0.4798
en__024,2,0.5050
en__025,0,0.2286
en__026,0,0.5643
en__027,0,0.6823
en__027,1,0.7062
en__028,0,0.2038
en__028,1,0.3170
en__029,0,0.4367
en__029,1,0.5462
en__029,2,0.8057
en__030,0,0.5496
en__030,1,0.7987
en__030,2,0.6419
en__030,3,0.6184
en__030,4,0.6461
en__031,0,0.5413
en__032,0,0.4424
en__032,1,0.6694
en__033,0,0.8021
en__034,0,0.7522
en__034,1,0.7372
en__035,0,0.4209
en__035,1,0.5221
en__035,2,0.7703
en__036,0,0.1640
en__036,1,0.2575
en__036,2,0.2230
en__037,0,0.3204
en__037,1,0.5589
en__037,2,0.6212
en__037,3,0.6785
en__038,0,0.2947
en__038,1,0.5147
en__038,2,0.3017
en__038,3,0.3596
en__039,0,0.4311
en__039,1,0.3532
en__039,2,0.1190
en__040,0,0.6399
en__041,0,0.6285
en__042,0,0.3889
en__042,1,0.3640
en__042,2,0.2494
en__042,3,0.3550
en__042,4,0.4637
en__043,0,0.8056
en__044,0,0.2102
en__044,1,0.5989
en__044,2,0.8006
en__045,0,0.1645
en__045,1,0.4394
en__046,0,0.2165
en__046,1,0.1730
en__046,2,0.3760
en__047,0,0.5204
en__048,0,0.4954
en__048,1,0.6192
en__049,0,0.0882
en__049,1,0.3867
en__049,2,0.3204
en__049,3,0.2618
en__049,4,0.5263
en__050,0,0.7194
en__051,0,0.3064
en__051,1,0.6475
en__051,2,0.3943
en__052,0,0.4409
en__052,1,0.6594
en__052,2,0.7865
en__053,0,0.6320
en__053,1,0.2899
en__054,0,0.7277
en__054,1,0.8189
en__055,0,0.5610
en__056,0,0.5039
en__057,0,0.6973
en__058,0,0.7296
en__059,0,0.3765
en__059,1,0.6584
en__059,2,0.4376
en__060,0,0.3729
en__060,1,0.5382
en__061,0,0.7760
en__061,1,0.5413
en__061,2,0.6773
en__062,0,0.7699
en__063,0,0.6610
en__063,1,0.6679
en__064,0,0.9319
en__064,1,0.8491
en__065,0,0.5377
en__065,1,0.4452
en__065,2,0.6398
en__066,0,0.4158
en__066,1,0.5035
en__067,0,0.1160
en__067,1,0.2890
en__067,2,0.6171
en__068,0,0.3567
en__068,1,0.2491
en__068,2,0.7342
en__069,0,0.3117
en__069,1,0.5850
en__070,0,0.1442
en__070,1,0.3910
en__070,2,0.4554
en__070,3,0.3273
en__070,4,0.3995
en__070,5,0.3701
en__070,6,0.3543
en__071,0,0.2184
en__072,0,0.7842
en__073,0,0.7036
en__073,1,0.6864
en__074,0,0.6362
en__075,0,0.7593
en__076,0,0.7363
en__077,0,0.4549
en__077,1,0.4917
en__077,2,0.6953
en__078,0,0.5397
en__079,0,0.1634
en__079,1,0.6727
en__080,0,0.2206
en__080,1,0.6483
en__080,2,0.6057
en__080,3,0.4765
en__080,4,0.3719
en__080,5,0.5210
en__081,0,0.1501
en__081,1,0.1341
en__081,2,0.3085
en__081,3,0.2278
en__081,4,0.6617
en__082,0,0.5777
en__082,1,0.6745
en__083,0,0.4805
en__083,1,0.4505
en__083,2,0.6800
en__084,0,0.8994
en__085,0,0.6611
en__086,0,0.3637
en__086,1,0.3696
en__086,2,0.3608
en__087,0,0.5766
en__088,0,0.4827
en__088,1,0.8557
en__089,0,0.7157
en__089,1,0.3632
en__090,0,0.4370
en__090,1,0.4336
en__090,2,0.6393
en__090,3,0.5273
en__091,0,0.0406
en__091,1,0.4515
en__091,2,0.4387
en__091,3,0.5378
en__091,4,0.1758
en__091,5,0.6467
en__091,6,0.7142
en__091,7,0.6429
en__092,0,0.6342
en__092,1,0.6032
en__093,0,0.4556
en__093,1,0.7338
en__093,2,0.8290
en__093,3,0.4856
en__093,4,0.4599
en__094,0,0.3432
en__094,1,0.2938
en__095,0,0.5583
en__095,1,0.2299
en__095,2,0.3446
en__095,3,0.4099
en__095,4,0.5147
en__095,5,0.6497
en__096,0,0.8277
en__097,0,0.2706
en__097,1,0.5881
en__098,0,0.6876
en__099,0,0.5361
