turn_id,pause_index,p_eot
hi__000,0,0.0424
hi__000,1,0.4173
hi__000,2,0.5163
hi__001,0,0.1383
hi__001,1,0.2227
hi__002,0,0.4925
hi__003,0,0.8329
hi__004,0,0.9455
hi__005,0,0.1743
hi__005,1,0.7080
hi__006,0,0.0576
hi__006,1,0.7838
hi__006,2,0.6428
hi__007,0,0.3139
hi__007,1,0.3028
hi__007,2,0.0703
hi__007,3,0.3311
hi__007,4,0.3724
hi__007,5,0.2297
hi__008,0,0.6038
hi__009,0,0.7521
hi__010,0,0.1541
hi__010,1,0.2944
hi__010,2,0.1813
hi__010,3,0.9457
hi__011,0,0.8657
hi__011,1,0.6975
hi__011,2,0.4761
hi__012,0,0.5346
hi__012,1,0.3383
hi__012,2,0.3780
hi__012,3,0.8109
hi__012,4,0.3651
hi__012,5,0.5150
hi__013,0,0.5811
hi__014,0,0.2697
hi__014,1,0.4537
hi__014,2,0.6078
hi__014,3,0.3787
hi__014,4,0.3604
hi__014,5,0.4190
hi__015,0,0.4191
hi__016,0,0.6224
hi__017,0,0.4321
hi__017,1,0.8190
hi__018,0,0.1657
hi__018,1,0.5845
hi__018,2,0.6830
hi__019,0,0.6923
hi__019,1,0.4409
hi__019,2,0.8294
hi__019,3,0.7410
hi__019,4,0.3257
hi__020,0,0.3833
hi__020,1,0.9125
hi__021,0,0.8970
hi__022,0,0.0775
hi__022,1,0.0899
hi__022,2,0.6501
hi__022,3,0.5854
hi__022,4,0.4221
hi__022,5,0.0865
hi__022,6,0.4186
hi__022,7,0.4492
hi__023,0,0.5972
hi__024,0,0.8264
hi__025,0,0.2083
hi__025,1,0.4302
hi__025,2,0.7488
hi__026,0,0.1927
hi__027,0,0.1202
hi__027,1,0.6724
hi__028,0,0.5540
hi__028,1,0.6607
hi__029,0,0.2324
hi__029,1,0.0499
hi__029,2,0.2182
hi__029,3,0.7240
hi__030,0,0.7859
hi__031,0,0.1438
hi__031,1,0.7357
hi__032,0,0.1769
hi__032,1,0.5155
hi__033,0,0.4866
hi__033,1,0.3495
hi__033,2,0.1016
hi__034,0,0.6123
hi__034,1,0.1565
hi__034,2,0.6652
hi__035,0,0.9242
hi__036,0,0.4624
hi__036,1,0.1319
hi__036,2,0.5275
hi__036,3,0.1420
hi__036,4,0.1424
hi__036,5,0.5887
hi__036,6,0.9905
hi__037,0,0.0410
hi__037,1,0.1024
hi__037,2,0.6111
hi__038,0,0.2434
hi__038,1,0.4033
hi__038,2,0.5478
hi__038,3,0.5080
hi__039,0,0.9628
hi__040,0,0.3509
hi__040,1,0.3345
hi__040,2,0.3728
hi__041,0,0.5399
hi__041,1,0.5839
hi__042,0,0.7292
hi__042,1,0.9183
hi__043,0,0.6073
hi__043,1,0.3137
hi__044,0,0.1153
hi__044,1,0.2220
hi__045,0,0.4667
hi__045,1,0.8915
hi__046,0,0.6396
hi__046,1,0.1785
hi__046,2,0.7578
hi__047,0,0.4383
hi__048,0,0.5578
hi__049,0,0.6040
hi__050,0,0.7709
hi__051,0,0.3175
hi__051,1,0.5281
hi__051,2,0.5211
hi__052,0,0.6279
hi__053,0,0.1844
hi__053,1,0.2801
hi__053,2,0.5698
hi__054,0,0.2261
hi__054,1,0.8522
hi__055,0,0.0350
hi__055,1,0.7192
hi__056,0,0.5423
hi__057,0,0.3881
hi__057,1,0.9285
hi__058,0,0.1231
hi__058,1,0.3324
hi__059,0,0.3000
hi__059,1,0.0880
hi__059,2,0.7360
hi__060,0,0.8214
hi__060,1,0.6552
hi__061,0,0.2605
hi__061,1,0.4698
hi__062,0,0.6944
hi__063,0,0.3467
hi__063,1,0.2372
hi__063,2,0.2863
hi__063,3,0.6265
hi__064,0,0.4033
hi__064,1,0.1835
hi__064,2,0.0480
hi__064,3,0.3995
hi__064,4,0.1108
hi__065,0,0.5398
hi__066,0,0.2296
hi__066,1,0.4153
hi__066,2,0.8810
hi__067,0,0.9451
hi__068,0,0.9782
hi__069,0,0.0623
hi__069,1,0.5231
hi__069,2,0.2409
hi__069,3,0.6098
hi__069,4,0.3386
hi__069,5,0.6167
hi__070,0,0.3193
hi__070,1,0.9702
hi__071,0,0.2500
hi__071,1,0.1752
hi__071,2,0.5083
hi__072,0,0.5494
hi__072,1,0.8132
