turn_id,pause_index,p_eot
hi__000,0,0.2345
hi__000,1,0.4325
hi__000,2,0.4044
hi__001,0,0.3804
hi__001,1,0.4836
hi__002,0,0.3299
hi__003,0,0.5447
hi__004,0,0.4298
hi__005,0,0.5097
hi__005,1,0.6039
hi__006,0,0.2886
hi__006,1,0.6964
hi__006,2,0.4712
hi__007,0,0.3584
hi__007,1,0.5931
hi__007,2,0.4779
hi__007,3,0.7794
hi__007,4,0.7207
hi__007,5,0.4024
hi__008,0,0.5024
hi__009,0,0.6311
hi__010,0,0.3582
hi__010,1,0.3262
hi__010,2,0.2914
hi__010,3,0.7591
hi__011,0,0.4616
hi__011,1,0.3223
hi__011,2,0.3213
hi__012,0,0.3669
hi__012,1,0.3800
hi__012,2,0.4462
hi__012,3,0.7768
hi__012,4,0.2984
hi__012,5,0.4317
hi__013,0,0.5199
hi__014,0,0.4173
hi__014,1,0.4679
hi__014,2,0.5851
hi__014,3,0.2968
hi__014,4,0.5025
hi__014,5,0.2870
hi__015,0,0.6910
hi__016,0,0.4794
hi__017,0,0.5043
hi__017,1,0.5928
hi__018,0,0.3150
hi__018,1,0.4977
hi__018,2,0.4571
hi__019,0,0.5636
hi__019,1,0.3469
hi__019,2,0.5882
hi__019,3,0.6347
hi__019,4,0.4266
hi__020,0,0.4818
hi__020,1,0.7067
hi__021,0,0.7219
hi__022,0,0.2405
hi__022,1,0.2441
hi__022,2,0.4438
hi__022,3,0.4855
hi__022,4,0.3892
hi__022,5,0.2043
hi__022,6,0.3764
hi__022,7,0.3347
hi__023,0,0.6422
hi__024,0,0.5635
hi__025,0,0.2003
hi__025,1,0.3460
hi__025,2,0.5486
hi__026,0,0.4731
hi__027,0,0.2980
hi__027,1,0.5894
hi__028,0,0.4871
hi__028,1,0.4850
hi__029,0,0.4316
hi__029,1,0.1365
hi__029,2,0.4869
hi__029,3,0.6531
hi__030,0,0.7349
hi__031,0,0.1899
hi__031,1,0.4953
hi__032,0,0.2683
hi__032,1,0.5029
hi__033,0,0.5744
hi__033,1,0.4356
hi__033,2,0.1054
hi__034,0,0.3883
hi__034,1,0.4369
hi__034,2,0.5842
hi__035,0,0.7726
hi__036,0,0.5827
hi__036,1,0.4853
hi__036,2,0.6887
hi__036,3,0.3515
hi__036,4,0.6083
hi__036,5,0.6196
hi__036,6,0.9832
hi__037,0,0.3564
hi__037,1,0.1497
hi__037,2,0.7800
hi__038,0,0.4085
hi__038,1,0.2569
hi__038,2,0.6219
hi__038,3,0.6650
hi__039,0,0.6512
hi__040,0,0.4676
hi__040,1,0.2393
hi__040,2,0.3279
hi__041,0,0.6258
hi__041,1,0.4136
hi__042,0,0.4251
hi__042,1,0.6534
hi__043,0,0.7004
hi__043,1,0.5931
hi__044,0,0.5224
hi__044,1,0.5222
hi__045,0,0.5447
hi__045,1,0.6516
hi__046,0,0.4686
hi__046,1,0.2859
hi__046,2,0.5571
hi__047,0,0.2640
hi__048,0,0.4199
