turn_id,pause_index,p_eot
en__000,0,0.2526
en__000,1,0.3373
en__000,2,0.2848
en__000,3,0.2455
en__001,0,0.2675
en__001,1,0.6746
en__002,0,0.3701
en__002,1,0.3478
en__002,2,0.4445
en__002,3,0.2606
en__002,4,0.2604
en__002,5,0.4123
en__002,6,0.4613
en__003,0,0.4741
en__004,0,0.1507
en__004,1,0.5094
en__005,0,0.4388
en__005,1,0.5306
en__006,0,0.3102
en__006,1,0.6439
en__006,2,0.6976
en__007,0,0.2070
en__007,1,0.1707
en__007,2,0.1106
en__007,3,0.1644
en__007,4,0.2188
en__007,5,0.2191
en__007,6,0.2061
en__008,0,0.3112
en__008,1,0.5276
en__008,2,0.6368
en__008,3,0.5185
en__009,0,0.3822
en__010,0,0.3083
en__010,1,0.2612
en__011,0,0.7000
en__012,0,0.2825
en__012,1,0.4261
en__012,2,0.6108
en__013,0,0.5393
en__014,0,0.5772
en__014,1,0.7697
en__015,0,0.3550
en__015,1,0.4155
en__016,0,0.2170
en__016,1,0.5789
en__016,2,0.7842
en__017,0,0.6378
en__017,1,0.7238
en__018,0,0.1919
en__018,1,0.4562
en__018,2,0.4582
en__018,3,0.5571
en__018,4,0.4923
en__018,5,0.3500
en__019,0,0.4986
en__020,0,0.5994
en__020,1,0.3513
en__020,2,0.6292
en__021,0,0.6429
en__022,0,0.6403
en__022,1,0.8830
en__023,0,0.2152
en__023,1,0.2198
en__023,2,0.3378
en__024,0,0.4082
en__024,1,0.5115
en__024,2,0.4239
en__025,0,0.2659
en__026,0,0.5205
en__027,0,0.6873
en__027,1,0.5949
en__028,0,0.2515
en__028,1,0.3008
en__029,0,0.4772
en__029,1,0.5972
en__029,2,0.6634
en__030,0,0.4643
en__030,1,0.7076
en__030,2,0.5977
en__030,3,0.5299
en__030,4,0.6086
en__031,0,0.6415
en__032,0,0.4492
en__032,1,0.6945
en__033,0,0.7712
en__034,0,0.7036
en__034,1,0.7502
en__035,0,0.4230
en__035,1,0.6118
en__035,2,0.7333
en__036,0,0.1659
en__036,1,0.2207
en__036,2,0.2939
en__037,0,0.3343
en__037,1,0.5892
en__037,2,0.7207
en__037,3,0.6804
en__038,0,0.2667
en__038,1,0.4534
en__038,2,0.3197
en__038,3,0.3876
en__039,0,0.5233
en__039,1,0.3870
en__039,2,0.1489
en__040,0,0.5877
en__041,0,0.7026
en__042,0,0.3802
en__042,1,0.4208
en__042,2,0.3253
en__042,3,0.4535
en__042,4,0.5634
en__043,0,0.7921
en__044,0,0.2378
en__044,1,0.4557
en__044,2,0.7641
en__045,0,0.2323
en__045,1,0.5352
en__046,0,0.2459
en__046,1,0.1466
en__046,2,0.2897
en__047,0,0.5981
en__048,0,0.5022
en__048,1,0.5416
en__049,0,0.1280
en__049,1,0.3938
en__049,2,0.3416
en__049,3,0.3192
en__049,4,0.5111
en__050,0,0.6602
en__051,0,0.3418
en__051,1,0.6843
en__051,2,0.4836
en__052,0,0.5006
en__052,1,0.6882
en__052,2,0.7865
en__053,0,0.6201
en__053,1,0.3362
en__054,0,0.7379
en__054,1,0.7870
en__055,0,0.5815
en__056,0,0.4405
en__057,0,0.6694
en__058,0,0.5784
en__059,0,0.3746
en__059,1,0.6419
en__059,2,0.4812
en__060,0,0.4865
en__060,1,0.6027
en__061,0,0.8089
en__061,1,0.6174
en__061,2,0.7146
en__062,0,0.7306
en__063,0,0.6756
en__063,1,0.7252
en__064,0,0.9322
en__064,1,0.8319
en__065,0,0.5161
en__065,1,0.4603
en__065,2,0.5841
en__066,0,0.5023
en__066,1,0.4873
en__067,0,0.1942
en__067,1,0.3611
en__067,2,0.6368
en__068,0,0.3229
en__068,1,0.2633
en__068,2,0.6481
en__069,0,0.4126
en__069,1,0.5048
en__070,0,0.1332
en__070,1,0.4666
en__070,2,0.5218
en__070,3,0.3735
en__070,4,0.3554
en__070,5,0.3450
en__070,6,0.3336
en__071,0,0.1867
en__072,0,0.7856
en__073,0,0.6025
en__073,1,0.6402
en__074,0,0.5888
en__075,0,0.7031
en__076,0,0.7257
en__077,0,0.4407
en__077,1,0.4256
en__077,2,0.6834
en__078,0,0.5091
en__079,0,0.1650
en__079,1,0.6357
en__080,0,0.2739
en__080,1,0.6088
en__080,2,0.6028
en__080,3,0.5281
en__080,4,0.4001
en__080,5,0.5041
en__081,0,0.2050
en__081,1,0.1700
en__081,2,0.3010
en__081,3,0.2120
en__081,4,0.6642
en__082,0,0.5278
en__082,1,0.6193
en__083,0,0.5815
en__083,1,0.4456
en__083,2,0.6421
en__084,0,0.9150
en__085,0,0.6850
en__086,0,0.4769
en__086,1,0.3937
en__086,2,0.3592
en__087,0,0.5274
en__088,0,0.4140
en__088,1,0.8156
en__089,0,0.5954
en__089,1,0.4145
en__090,0,0.4251
en__090,1,0.3760
en__090,2,0.6837
en__090,3,0.4725
en__091,0,0.9668
en__091,1,0.4453
en__091,2,0.4389
en__091,3,0.5564
en__091,4,0.2209
en__091,5,0.5648
en__091,6,0.6250
en__091,7,0.5535
en__092,0,0.6378
en__092,1,0.6079
en__093,0,0.5313
en__093,1,0.6944
en__093,2,0.7513
en__093,3,0.5007
en__093,4,0.4632
en__094,0,0.4358
en__094,1,0.3448
en__095,0,0.5561
en__095,1,0.2502
en__095,2,0.3416
en__095,3,0.4870
en__095,4,0.4884
en__095,5,0.6117
en__096,0,0.8443
en__097,0,0.3837
en__097,1,0.5700
en__098,0,0.7430
en__099,0,0.5550
