turn_id,pause_index,p_eot
hi__000,0,0.0470
hi__000,1,0.4434
hi__000,2,0.4933
hi__001,0,0.1861
hi__001,1,0.2387
hi__002,0,0.5331
hi__003,0,0.7938
hi__004,0,0.9402
hi__005,0,0.2228
hi__005,1,0.6612
hi__006,0,0.0966
hi__006,1,0.6990
hi__006,2,0.6220
hi__007,0,0.3354
hi__007,1,0.2557
hi__007,2,0.0742
hi__007,3,0.4366
hi__007,4,0.2083
hi__007,5,0.2213
hi__008,0,0.5926
hi__009,0,0.7774
hi__010,0,0.1937
hi__010,1,0.3003
hi__010,2,0.2196
hi__010,3,0.8344
hi__011,0,0.8463
hi__011,1,0.6186
hi__011,2,0.5465
hi__012,0,0.4863
hi__012,1,0.3271
hi__012,2,0.4425
hi__012,3,0.8060
hi__012,4,0.2698
hi__012,5,0.5659
hi__013,0,0.6620
hi__014,0,0.2761
hi__014,1,0.4383
hi__014,2,0.5601
hi__014,3,0.4127
hi__014,4,0.3923
hi__014,5,0.4461
hi__015,0,0.4199
hi__016,0,0.6728
hi__017,0,0.4877
hi__017,1,0.7877
hi__018,0,0.2389
hi__018,1,0.5775
hi__018,2,0.6817
hi__019,0,0.6608
hi__019,1,0.4670
hi__019,2,0.8621
hi__019,3,0.6898
hi__019,4,0.3463
hi__020,0,0.3662
hi__020,1,0.8904
hi__021,0,0.8974
hi__022,0,0.1144
hi__022,1,0.0916
hi__022,2,0.6335
hi__022,3,0.5993
hi__022,4,0.4452
hi__022,5,0.0993
hi__022,6,0.4129
hi__022,7,0.3943
hi__023,0,0.6151
hi__024,0,0.7573
hi__025,0,0.2770
hi__025,1,0.4848
hi__025,2,0.7101
hi__026,0,0.1159
hi__027,0,0.1752
hi__027,1,0.6545
hi__028,0,0.6184
hi__028,1,0.6741
hi__029,0,0.2646
hi__029,1,0.0744
hi__029,2,0.2429
hi__029,3,0.7599
hi__030,0,0.7628
hi__031,0,0.1496
hi__031,1,0.7041
hi__032,0,0.2217
hi__032,1,0.5217
hi__033,0,0.3972
hi__033,1,0.4205
hi__033,2,0.1102
hi__034,0,0.6100
hi__034,1,0.1298
hi__034,2,0.7000
hi__035,0,0.8722
hi__036,0,0.3519
hi__036,1,0.1403
hi__036,2,0.5224
hi__036,3,0.1936
hi__036,4,0.0865
hi__036,5,0.3691
hi__036,6,0.9859
hi__037,0,0.0387
hi__037,1,0.1466
hi__037,2,0.5777
hi__038,0,0.3201
hi__038,1,0.4178
hi__038,2,0.5236
hi__038,3,0.5219
hi__039,0,0.9537
hi__040,0,0.3011
hi__040,1,0.3203
hi__040,2,0.4472
hi__041,0,0.6126
hi__041,1,0.5398
hi__042,0,0.7014
hi__042,1,0.8899
hi__043,0,0.7075
hi__043,1,0.3273
hi__044,0,0.1097
hi__044,1,0.2177
hi__045,0,0.6170
hi__045,1,0.8128
hi__046,0,0.6192
hi__046,1,0.1671
hi__046,2,0.8151
hi__047,0,0.4435
hi__048,0,0.5709
hi__049,0,0.7958
hi__050,0,0.8068
hi__051,0,0.3067
hi__051,1,0.4884
hi__051,2,0.5325
hi__052,0,0.6137
hi__053,0,0.1132
hi__053,1,0.2122
hi__053,2,0.5694
hi__054,0,0.1512
hi__054,1,0.7818
hi__055,0,0.0343
hi__055,1,0.6760
hi__056,0,0.5485
hi__057,0,0.3908
hi__057,1,0.9426
hi__058,0,0.1051
hi__058,1,0.3923
hi__059,0,0.2349
hi__059,1,0.0914
hi__059,2,0.7180
hi__060,0,0.8674
hi__060,1,0.6293
hi__061,0,0.2569
hi__061,1,0.4687
hi__062,0,0.8479
hi__063,0,0.4183
hi__063,1,0.2461
hi__063,2,0.2673
hi__063,3,0.5023
hi__064,0,0.5098
hi__064,1,0.1987
hi__064,2,0.0701
hi__064,3,0.3240
hi__064,4,0.1058
hi__065,0,0.5488
hi__066,0,0.2961
hi__066,1,0.4299
hi__066,2,0.7817
hi__067,0,0.9328
hi__068,0,0.9835
hi__069,0,0.2135
hi__069,1,0.5863
hi__069,2,0.2898
hi__069,3,0.5841
hi__069,4,0.3793
hi__069,5,0.6603
hi__070,0,0.3659
hi__070,1,0.9590
hi__071,0,0.3166
hi__071,1,0.2089
hi__071,2,0.5193
hi__072,0,0.5894
hi__072,1,0.7632
hi__073,0,0.0377
hi__073,1,0.8174
hi__073,2,0.1848
hi__073,3,0.6744
hi__073,4,0.5344
hi__073,5,0.8275
hi__074,0,0.4124
hi__074,1,0.6407
hi__075,0,0.5502
hi__075,1,0.9916
hi__076,0,0.9541
hi__077,0,0.1982
hi__077,1,0.1215
hi__077,2,0.6188
hi__078,0,0.3787
hi__078,1,0.3786
hi__078,2,0.8033
hi__078,3,0.4303
hi__079,0,0.1541
hi__079,1,0.1455
hi__079,2,0.7244
hi__080,0,0.2687
hi__080,1,0.8640
hi__081,0,0.1935
hi__081,1,0.1758
hi__081,2,0.7393
hi__082,0,0.8978
hi__083,0,0.9025
hi__084,0,0.8838
hi__085,0,0.4307
hi__085,1,0.8053
hi__085,2,0.8028
hi__086,0,0.4876
hi__086,1,0.2411
hi__087,0,0.3910
hi__087,1,0.5443
hi__087,2,0.5152
hi__088,0,0.2143
hi__088,1,0.2372
hi__088,2,0.2794
hi__089,0,0.7198
hi__089,1,0.5600
hi__089,2,0.7959
hi__090,0,0.2463
hi__090,1,0.3225
hi__090,2,0.5356
hi__090,3,0.2235
hi__091,0,0.7873
hi__092,0,0.3272
hi__093,0,0.5768
hi__094,0,0.2156
hi__094,1,0.1400
hi__094,2,0.2542
hi__094,3,0.2272
hi__094,4,0.1578
hi__094,5,0.3052
hi__095,0,0.7953
hi__095,1,0.8086
hi__096,0,0.3674
hi__096,1,0.4436
hi__096,2,0.1344
hi__096,3,0.3163
hi__097,0,0.3306
hi__097,1,0.6026
hi__097,2,0.2812
hi__097,3,0.2202
hi__097,4,0.4279
hi__097,5,0.5845
hi__098,0,0.6345
hi__099,0,0.6778
hi__099,1,0.6679
